name	url	region	city	address
Impact Jiu Jitsu Salem	https://salemimpactjj.com/	OR	Salem	2975 River Rd S
Impact Jiu Jitsu Salem (Lancaster)	https://courthousefit.com/impact-jiu-jitsu/	OR	Salem	4132 Devonshire Ct NE
Impact Jiu Jitsu at Crossfit Wilsonville	https://www.crossfitwilsonville.com/jiu-jitsu-at-cfw	OR	Wilsonville	25589 SW Canyon Creek Suite 100
Impact Martial Arts Academy	https://www.impact-athletes.com/	VA	Virginia Beach	3877 Holland Road #511
Impact Martial Arts Harrison	https://impactharrison.com/uncategorized/about/	AR	Harrison	
Imperial BJJ	https://www.facebook.com/ImperialTruthBJJ	MT	Butte	1131 Utah Ave
Imperial Training Center	https://imperialtrainingcenter.com	MN	Rochester	2571 Clare Ln NE Unit 102, Rochester, MN 55906
InFighting Training Centres	https://www.infighting.ca	BC	Burnaby	010-4664 Lougheed Hwy, Burnaby, BC V5C 3Y2
Independent MMA & Fitness - Villa Rica	https://villarica.independentmmafitness.com/	GA	Villa Rica	901 S Carroll Rd A
Independent MMA & Fitness of Newnan	https://independentmmafitness-newnan.com/	GA	Newnan	40 Greenway Ct
Indiana Brazilian Jiu-Jitsu Academy	https://ibjja.com	IN	Greenwood	
Industrial Strength Gym BJJ (Impact JJ)	https://industrialstrengthgym.com/brazilian-jiu-jitsu/	OR	Portland	8709 N Lombard St
Inferno MMA	https://www.mindbodyonline.com/explore/locations/inferno-mixed-martial-arts	FL	Naples	5556 Yahl St c
Inferno Martial Arts Bella Vista	https://myinfernofitness.com	AR	Bella Vista	408 NE Towncenter
Inferno Martial Arts Rogers	https://myinfernofitness.com	AR	Rogers	2603 W Pleasant Grove Rd #115
